0: (7) ['1', 'nl', 'Itzamna saladin', '1558,579', '38,47407', '1443', '204276']
1: (7) ['2', 'gr', 'Che-le Grifos99', '1536,942', '39,09151', '1419', '400620']
2: (7) ['3', 'ca', 'Ahmakiq sstackho', '1529,97', '39,87739', '1410', '27284']
3: (7) ['4', 'us', 'Itzamna thekid', '1527,593', '39,82245', '1408', '3853']
4: (7) ['5', 'us', 'Itzamna texaswer', '1504,332', '40', '1384', '40743']
5: (7) ['6', 'un', 'Mayor CroOm', '1498,041', '38,39856', '1382', '167750']
6: (7) ['7', 'us', 'Hermit c4dancer', '1476,898', '37,02304', '1365', '56997']
7: (7) ['8', 'un', 'Ix Chel W0RLD', '1503,39', '47,74929', '1360', '560519']
8: (7) ['9', 'eu', 'Hermit esper80', '1476,27', '39,64982', '1357', '48620']
9: (7) ['10', 'gr', 'Farmer georgedim', '1469,497', '39,35015', '1351', '275417']
10: (7) ['11', 'de', 'Shopkeeper BloodyOlaf', '1461,499', '38,55205', '1345', '386537']
11: (7) ['12', 'ca', 'Ahaucan LucRivNor', '1476,669', '46,02152', '1338', '39680']
12: (7) ['13', 'au', 'Journeyman speedtrain', '1452,412', '40', '1332', '35740']
13: (7) ['14', 'gb', 'Farmer Ostrich', '1447,017', '39,98154', '1327', '372776']
14: (7) ['15', 'un', 'Weaver konmar', '1537,503', '70,71511', '1325', '181929']
15: (7) ['16', 'un', 'Itzamna hgfdsa', '1438,638', '37,99547', '1324', '40556']
16: (7) ['17', 'us', 'Toolmaker Pug17', '1443,425', '39,71233', '1324', '461135']
17: (7) ['18', 'un', 'Itzamna hank2015', '1435,368', '37,88865', '1321', '233296']
18: (7) ['19', 'en', 'Hermit TwistedTea', '1434,003', '37,44754', '1321', '9260']
19: (7) ['20', 'us', 'Councillor bootstrap', '1452,27', '45,9935', '1314', '47491']
20: (7) ['21', 'de', 'Ahaucan Fruechtchen', '1431,401', '40', '1311', '36091']
21: (7) ['22', 'at', 'Hermit Storm', '1429,506', '40', '1309', '25982']
22: (7) ['23', 'ch', 'Toolmaker Dr Schiwago', '1426,627', '39,95007', '1306', '25767']
23: (7) ['24', 'gb', 'Ahmakiq PeteC2', '1421,26', '38,63268', '1305', '40623']
24: (7) ['25', 'us', 'Ahmakiq Chuck', '1411,436', '35,38', '1305', '153029']
25: (7) ['26', 'us', 'Baker KenoBob', '1412,691', '35,90989', '1304', '94984']
26: (7) ['27', 'de', 'Itzamna Marc1974', '1418,519', '38,13478', '1304', '13729']
27: (7) ['28', 'de', 'Merchant Schummeli', '1411,543', '36,33188', '1302', '114252']
28: (7) ['29', 'de', 'Ix Chel ttseppel', '1496,273', '64,57715', '1302', '216330']
29: (7) ['30', 'de', 'Ahmakiq Lono', '1419,011', '38,9268', '1302', '17']
30: (7) ['31', 'un', 'Ahmakiq Ottokar', '1417,036', '38,70166', '1300', '13751']
31: (7) ['32', 'en', 'Toolmaker sidmobes', '1455,18', '51,97956', '1299', '390447']
32: (7) ['33', 'us', 'Treasurer lonewolf70', '1396,262', '32,97379', '1297', '338530']
33: (7) ['34', 'be', 'Healer Godsmurf', '1403,921', '36,26683', '1295', '94024']
34: (7) ['35', 'de', 'Chaac Lumumba', '1414,661', '40,0031', '1294', '42089']
35: (7) ['36', 'de', 'Shopkeeper fp91gx', '1406,86', '38,02027', '1292', '532458']
36: (7) ['37', 'fr', 'Itzamna prof43', '1411,089', '40,86059', '1288', '68845']
37: (7) ['38', 'de', 'Astrologer Woodstock', '1406,268', '41,58017', '1281', '25253']
38: (7) ['39', 'de', 'Treasurer Dominik1701', '1461,933', '60,40828', '1280', '72161']
39: (7) ['40', 'nl', 'Secretary BelindaB', '1390,893', '38,47649', '1275', '537600']
40: (7) ['41', 'un', 'Councillor Strategix79', '1393,827', '39,52822', '1275', '198739']
41: (7) ['42', 'de', 'Ahaucan kostra', '1387,28', '39,60995', '1268', '20343']
42: (7) ['43', 'by', 'Ahmakiq Madjer', '1391,663', '41,43544', '1267', '371099']
43: (7) ['44', 'un', 'Farmer Spacemanspiff', '1466,202', '67,40131', '1263', '475325']
44: (7) ['45', 'un', 'Fisherman Lopuch99', '1371,246', '36,64791', '1261', '589267']
45: (7) ['46', 'tw', 'Messenger Zavoz', '1376,219', '38,39591', '1261', '571729']
46: (7) ['47', 'pl', 'Fisherman maciek112', '1377,4', '38,87389', '1260', '316393']
47: (7) ['48', 'de', 'Hermit Tönni', '1361,52', '33,65734', '1260', '38970']
48: (7) ['49', 'us', 'Farmer thegambiteer', '1372,366', '38,65604', '1256', '298830']
49: (7) ['50', 'de', 'Healer Calmon', '1429,432', '57,96043', '1255', '78162']
50: (7) ['51', 'en', 'Ahaucan Baron Frog', '1369,465', '38,31017', '1254', '13005']
51: (7) ['52', 'de', 'Farmer ivan_schrecklich', '1360,871', '35,48698', '1254', '280380']
52: (7) ['53', 'us', 'Councillor cel123', '1368,275', '38,11556', '1253', '68047']
53: (7) ['54', 'ca', 'Scholar rapharonii', '1382,909', '43,02276', '1253', '43154']
54: (7) ['55', 'de', 'Ahaucan Ma1980', '1392,597', '46,29067', '1253', '19570']
55: (7) ['56', 'us', 'Ahaucan junesen', '1405,486', '50,91448', '1252', '190073']
56: (7) ['57', 'de', 'Secretary BarbaricBagra', '1366,567', '38,0947', '1252', '432258']
57: (7) ['58', 'de', 'Itzamna zlorfik', '1499,946', '82,87437', '1251', '7124']
58: (7) ['59', 'ar', 'Chilan priest lolcese', '1362,344', '37,24197', '1250', '32203']
59: (7) ['60', 'no', 'Itzamna Girkassa', '1368,892', '39,65421', '1249', '145363']
60: (7) ['61', 'it', 'Che-le JHughes', '1364,49', '38,35536', '1249', '225687']
61: (7) ['62', 'us', 'Itzamna waxeater', '1592,735', '114,6673', '1248', '188041']
62: (7) ['63', 'nl', 'Toolmaker ineg57', '1358,141', '36,60303', '1248', '296807']
63: (7) ['64', 'si', 'Chaac ElDavid', '1362,651', '38,10881', '1248', '9832']
64: (7) ['65', 'de', 'Itzamna Laurentio', '1362,525', '38,12303', '1248', '9095']
65: (7) ['66', 'gb', 'Journeyman goforit', '1387,145', '46,8167', '1246', '29358']
66: (7) ['67', 'us', 'Itzamna Stu12', '1362,186', '38,99621', '1245', '51665']
67: (7) ['68', 'us', 'Merchant Combat311', '1359,852', '38,76494', '1243', '35824']
